CAT.N,DE,SAND.ST,KOMT.F,6305.F,EMR,PH,ETN,CMI,PCAR.O,VOLVb.ST,6326.T
22807000000.0,19204200000.0,6784914997.42838,11475330903.5105,3857615576.44351,15615000000.0,6887596000.0,8061000000.0,6296000000.0,8194900000.0,25478669428.2656,8918818338.76846
30306000000.0,19204200000.0,8209314211.83969,11475330903.5105,3857615576.44351,15615000000.0,6887596000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,8918818338.76846
30306000000.0,19204200000.0,8209314211.83969,13397964329.069,4183798674.01251,15615000000.0,6887596000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
30306000000.0,19204200000.0,8209314211.83969,13397964329.069,4183798674.01251,15615000000.0,8068805000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
30306000000.0,21190800000.0,8209314211.83969,13397964329.069,4183798674.01251,17305000000.0,8068805000.0,9712000000.0,8438000000.0,11396300000.0,31730254652.5961,9181305444.01905
36339000000.0,21190800000.0,7979701312.11122,13397964329.069,4183798674.01251,17305000000.0,8068805000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9181305444.01905
36339000000.0,21190800000.0,7979701312.11122,13701682814.8904,5324298827.12902,17305000000.0,8068805000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
36339000000.0,21190800000.0,7979701312.11122,13701682814.8904,5324298827.12902,17305000000.0,9385888000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
36339000000.0,22147800000.0,7979701312.11122,13701682814.8904,5324298827.12902,19734000000.0,9385888000.0,10874000000.0,9918000000.0,14057400000.0,30291762157.8059,9057759646.43889
41517000000.0,22147800000.0,10560384497.3924,13701682814.8904,5324298827.12902,19734000000.0,9385888000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9057759646.43889
41517000000.0,22147800000.0,10560384497.3924,16075250466.9723,6422592969.94396,19734000000.0,9385888000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
41517000000.0,22147800000.0,10560384497.3924,16075250466.9723,6422592969.94396,19734000000.0,10718059000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
41517000000.0,24082200000.0,10560384497.3924,16075250466.9723,6422592969.94396,22131000000.0,10718059000.0,12232000000.0,11362000000.0,16454100000.0,37812075438.6221,9572559008.3206
44958000000.0,24082200000.0,13360465476.1536,16075250466.9723,6422592969.94396,22131000000.0,10718059000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,9572559008.3206
44958000000.0,24082200000.0,13360465476.1536,22472928564.2721,9423274221.01994,22131000000.0,10718059000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
44958000000.0,24082200000.0,13360465476.1536,22472928564.2721,9423274221.01994,22131000000.0,12145605000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
44958000000.0,28437600000.0,13360465476.1536,22472928564.2721,9423274221.01994,23751000000.0,12145605000.0,13033000000.0,13048000000.0,15221700000.0,44165299743.1215,11567718665.4644
51324000000.0,28437600000.0,11862748863.7091,22472928564.2721,9423274221.01994,23751000000.0,12145605000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11567718665.4644
51324000000.0,28437600000.0,11862748863.7091,20454704573.0473,7529006475.11129,23751000000.0,12145605000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
51324000000.0,28437600000.0,11862748863.7091,20454704573.0473,7529006475.11129,23751000000.0,10309015000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
51324000000.0,23103400000.0,11862748863.7091,20454704573.0473,7529006475.11129,20102000000.0,10309015000.0,15376000000.0,14342000000.0,14972500000.0,39004161065.2327,11204795629.2999
32396000000.0,23103400000.0,10046786402.6145,20454704573.0473,7529006475.11129,20102000000.0,10309015000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,11204795629.2999
32396000000.0,23103400000.0,10046786402.6145,15317397817.248,6481789000.64199,20102000000.0,10309015000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
32396000000.0,23103400000.0,10046786402.6145,15317397817.248,6481789000.64199,20102000000.0,9993166000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
32396000000.0,25994600000.0,10046786402.6145,15317397817.248,6481789000.64199,21039000000.0,9993166000.0,11873000000.0,10800000000.0,8086500000.0,30496494511.3265,9957671731.22191
42588000000.0,25994600000.0,12318399952.3086,15317397817.248,6481789000.64199,21039000000.0,9993166000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,9957671731.22191
42588000000.0,25994600000.0,12318399952.3086,22166289837.6428,9305700541.19062,21039000000.0,9993166000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
42588000000.0,25994600000.0,12318399952.3086,22166289837.6428,9305700541.19062,21039000000.0,12345870000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
42588000000.0,32001500000.0,12318399952.3086,22166289837.6428,9305700541.19062,24222000000.0,12345870000.0,13715000000.0,13226000000.0,10292900000.0,39457062803.6603,11228923631.9904
60138000000.0,32001500000.0,13659513923.1685,22166289837.6428,9305700541.19062,24222000000.0,12345870000.0,16049000000.0,18048000000.0,16355200000.0,45060396643.3404,11228923631.9904
60138000000.0,32001500000.0,13659513923.1685,23937226718.2027,9870068848.89479,24222000000.0,12345870000.0,16049000000.0,18048000000.0,16355200000.0,45060396643.3404,12175612996.7387
60138000000.0,32001500000.0,13659513923.1685,23937226718.2027,9870068848.89479,24222000000.0,13145942000.0,16049000000.0,18048000000.0,16355200000.0,45060396643.3404,12175612996.7387
60138000000.0,36143100000.0,13659513923.1685,23937226718.2027,9870068848.89479,24412000000.0,13145942000.0,16049000000.0,18048000000.0,16355200000.0,45060396643.3404,12175612996.7387
65875000000.0,36143100000.0,13659513923.1685,23937226718.2027,9870068848.89479,24412000000.0,13145942000.0,16311000000.0,17334000000.0,17050500000.0,46135167574.5545,12175612996.7387
65875000000.0,36143100000.0,15161573261.9333,20012644654.4219,8199968149.48508,24412000000.0,13145942000.0,16311000000.0,17334000000.0,17050500000.0,46135167574.5545,12396517677.0358
65875000000.0,36143100000.0,15161573261.9333,20012644654.4219,8199968149.48508,24412000000.0,13015704000.0,16311000000.0,17334000000.0,17050500000.0,46135167574.5545,12396517677.0358
65875000000.0,37795400000.0,15161573261.9333,20012644654.4219,8199968149.48508,24669000000.0,13015704000.0,16311000000.0,17334000000.0,17050500000.0,46135167574.5545,12396517677.0358
55656000000.0,37795400000.0,13567200584.1503,20012644654.4219,8199968149.48508,24669000000.0,13015704000.0,22046000000.0,17301000000.0,17123800000.0,42354311992.1699,12396517677.0358
55656000000.0,37795400000.0,13567200584.1503,18932619439.8682,7781645508.28569,24669000000.0,13015704000.0,22046000000.0,17301000000.0,17123800000.0,42354311992.1699,14619536776.8195
55656000000.0,37795400000.0,13567200584.1503,18932619439.8682,7781645508.28569,24669000000.0,13215971000.0,22046000000.0,17301000000.0,17123800000.0,42354311992.1699,14619536776.8195
55656000000.0,36066900000.0,13567200584.1503,18932619439.8682,7781645508.28569,17733000000.0,13215971000.0,22046000000.0,17301000000.0,17123800000.0,42354311992.1699,14619536776.8195
55184000000.0,36066900000.0,10587261881.8549,18932619439.8682,7781645508.28569,17733000000.0,13215971000.0,22552000000.0,19221000000.0,18997000000.0,36296324802.7708,14619536776.8195
55184000000.0,36066900000.0,10587261881.8549,16472494172.4942,6791475191.47519,17733000000.0,13215971000.0,22552000000.0,19221000000.0,18997000000.0,36296324802.7708,14619536776.8195
55184000000.0,36066900000.0,10587261881.8549,16472494172.4942,6791475191.47519,17733000000.0,12711744000.0,22552000000.0,19221000000.0,18997000000.0,36296324802.7708,14619536776.8195
55184000000.0,28862800000.0,10587261881.8549,16472494172.4942,6791475191.47519,16249000000.0,12711744000.0,22552000000.0,19221000000.0,18997000000.0,36296324802.7708,14619536776.8195
47011000000.0,28862800000.0,10163381282.1879,16472494172.4942,6791475191.47519,16249000000.0,12711744000.0,20855000000.0,19110000000.0,19115100000.0,36999348842.7159,10347256857.8554
47011000000.0,28862800000.0,10163381282.1879,16479779673.0633,6737126865.67164,16249000000.0,12711744000.0,20855000000.0,19110000000.0,19115100000.0,36999348842.7159,10347256857.8554
47011000000.0,28862800000.0,10163381282.1879,16479779673.0633,6737126865.67164,16249000000.0,11360753000.0,20855000000.0,19110000000.0,19115100000.0,36999348842.7159,10347256857.8554
47011000000.0,26644000000.0,10163381282.1879,16479779673.0633,6737126865.67164,14522000000.0,11360753000.0,20855000000.0,19110000000.0,19115100000.0,36999348842.7159,10347256857.8554
38537000000.0,26644000000.0,8954291423.74035,16479779673.0633,6737126865.67164,14522000000.0,11360753000.0,19747000000.0,17509000000.0,17032900000.0,33149313218.4855,13656977838.6241
38537000000.0,26644000000.0,8954291423.74035,16187726701.3827,6769141677.14132,14522000000.0,11360753000.0,19747000000.0,17509000000.0,17032900000.0,33149313218.4855,13656977838.6241
38537000000.0,26644000000.0,8954291423.74035,16187726701.3827,6769141677.14132,14522000000.0,12029312000.0,19747000000.0,17509000000.0,17032900000.0,33149313218.4855,13656977838.6241
38537000000.0,29737700000.0,8954291423.74035,16187726701.3827,6769141677.14132,15264000000.0,12029312000.0,19747000000.0,17509000000.0,17032900000.0,33149313218.4855,13656977838.6241
45462000000.0,29737700000.0,11074167550.6297,16187726701.3827,6769141677.14132,15264000000.0,12029312000.0,20404000000.0,20428000000.0,19456400000.0,40569394149.9933,15541297594.7457
45462000000.0,29737700000.0,11074167550.6297,23537615283.2675,9026472802.55976,15264000000.0,12029312000.0,20404000000.0,20428000000.0,19456400000.0,40569394149.9933,15541297594.7457
45462000000.0,29737700000.0,11074167550.6297,23537615283.2675,9026472802.55976,15264000000.0,14302392000.0,20404000000.0,20428000000.0,19456400000.0,40569394149.9933,15541297594.7457
45462000000.0,37354700000.0,11074167550.6297,23537615283.2675,9026472802.55976,17408000000.0,14302392000.0,20404000000.0,20428000000.0,19456400000.0,40569394149.9933,15541297594.7457
54722000000.0,37354700000.0,11304504992.9963,23537615283.2675,9026472802.55976,17408000000.0,14302392000.0,21609000000.0,23771000000.0,23495700000.0,44150061000.4067,16888608981.3801
54722000000.0,37354700000.0,11304504992.9963,24587179718.5132,9326082641.64561,17408000000.0,14302392000.0,21609000000.0,23771000000.0,23495700000.0,44150061000.4067,16888608981.3801
54722000000.0,37354700000.0,11304504992.9963,24587179718.5132,9326082641.64561,17408000000.0,14320324000.0,21609000000.0,23771000000.0,23495700000.0,44150061000.4067,16888608981.3801
54722000000.0,39281000000.0,11304504992.9963,24587179718.5132,9326082641.64561,18372000000.0,14320324000.0,21609000000.0,23771000000.0,23495700000.0,44150061000.4067,16888608981.3801
53800000000.0,39281000000.0,11027344584.4905,24587179718.5132,9326082641.64561,18372000000.0,14320324000.0,21390000000.0,23571000000.0,25599700000.0,46141850032.0444,17678316913.728
53800000000.0,39281000000.0,11027344584.4905,22736631637.6825,8661275922.99823,18372000000.0,14320324000.0,21390000000.0,23571000000.0,25599700000.0,46141850032.0444,17678316913.728
53800000000.0,39281000000.0,11027344584.4905,22736631637.6825,8661275922.99823,18372000000.0,13695520000.0,21390000000.0,23571000000.0,25599700000.0,46141850032.0444,17678316913.728
53800000000.0,35540000000.0,11027344584.4905,22736631637.6825,8661275922.99823,16785000000.0,13695520000.0,21390000000.0,23571000000.0,25599700000.0,46141850032.0444,17678316913.728
41748000000.0,35540000000.0,10518089302.235,22736631637.6825,8661275922.99823,16785000000.0,13695520000.0,17858000000.0,19811000000.0,18728500000.0,41199542289.5262,17950736148.7795
41748000000.0,35540000000.0,10518089302.235,19778789521.2285,7347163504.96838,16785000000.0,13695520000.0,17858000000.0,19811000000.0,18728500000.0,41199542289.5262,17950736148.7795
41748000000.0,35540000000.0,10518089302.235,19778789521.2285,7347163504.96838,16785000000.0,14347640000.0,17858000000.0,19811000000.0,18728500000.0,41199542289.5262,17950736148.7795
41748000000.0,43932000000.0,10518089302.235,19778789521.2285,7347163504.96838,18236000000.0,14347640000.0,17858000000.0,19811000000.0,18728500000.0,41199542289.5262,17950736148.7795
50971000000.0,43932000000.0,9480927515.70936,19778789521.2285,7347163504.96838,18236000000.0,14347640000.0,19628000000.0,24021000000.0,23522300000.0,41177980352.2436,19089033715.6761
50971000000.0,43932000000.0,9480927515.70936,23034053920.7628,8424798619.10242,18236000000.0,14347640000.0,19628000000.0,24021000000.0,23522300000.0,41177980352.2436,19089033715.6761
50971000000.0,43932000000.0,9480927515.70936,23034053920.7628,8424798619.10242,18236000000.0,15861608000.0,19628000000.0,24021000000.0,23522300000.0,41177980352.2436,19089033715.6761
50971000000.0,52179000000.0,9480927515.70936,23034053920.7628,8424798619.10242,19629000000.0,15861608000.0,19628000000.0,24021000000.0,23522300000.0,41177980352.2436,19089033715.6761
59427000000.0,52179000000.0,10793059051.865,23034053920.7628,8424798619.10242,19629000000.0,15861608000.0,20752000000.0,28074000000.0,28819700000.0,45492707392.5325,20417817100.1449
59427000000.0,52179000000.0,10793059051.865,26684803072.5205,9525770012.80217,19629000000.0,15861608000.0,20752000000.0,28074000000.0,28819700000.0,45492707392.5325,20417817100.1449
59427000000.0,52179000000.0,10793059051.865,26684803072.5205,9525770012.80217,19629000000.0,19065194000.0,20752000000.0,28074000000.0,28819700000.0,45492707392.5325,20417817100.1449
59427000000.0,61218000000.0,10793059051.865,26684803072.5205,9525770012.80217,15165000000.0,19065194000.0,20752000000.0,28074000000.0,28819700000.0,45492707392.5325,20417817100.1449
67060000000.0,61218000000.0,12566107082.5469,26684803072.5205,9525770012.80217,15165000000.0,19065194000.0,23196000000.0,34065000000.0,35127400000.0,54908512963.1469,21414369771.7283
67060000000.0,61218000000.0,12566107082.5469,25544392307.1839,9291705769.61205,15165000000.0,19065194000.0,23196000000.0,34065000000.0,35127400000.0,54908512963.1469,21414369771.7283
67060000000.0,61218000000.0,12566107082.5469,25544392307.1839,9291705769.61205,15165000000.0,19929606000.0,23196000000.0,34065000000.0,35127400000.0,54908512963.1469,21414369771.7283
